2.000000000000000000e+00,1.118033988749894903e+00
4.000000000000000000e+00,2.291287847477919914e+00
7.000000000000000000e+00,4.609772228646443537e+00
1.100000000000000000e+01,8.381527307120105519e+00
1.600000000000000000e+01,1.382931668593933061e+01
2.200000000000000000e+01,2.114828598255660097e+01
2.900000000000000000e+01,3.051638903933425695e+01
3.700000000000000000e+01,4.209809971958354424e+01
4.600000000000000000e+01,5.604685539796144411e+01
5.600000000000000000e+01,7.250689622373860743e+01
6.700000000000000000e+01,9.161468222943307183e+01
7.900000000000000000e+01,1.135000000000000000e+02
9.200000000000000000e+01,1.382868395762951934e+02
1.060000000000000000e+02,1.660940998350031919e+02
1.210000000000000000e+02,1.970361641932769885e+02
1.370000000000000000e+02,2.312233768458544318e+02
1.540000000000000000e+02,2.687624415724786786e+02
1.720000000000000000e+02,3.097567594097019992e+02
1.910000000000000000e+02,3.543067174073898400e+02
2.110000000000000000e+02,4.025099377655165540e+02
2.320000000000000000e+02,4.544614945185125521e+02
2.540000000000000000e+02,5.102541033641963963e+02
2.770000000000000000e+02,5.699782890602061798e+02
3.010000000000000000e+02,6.337225339215893882e+02
3.260000000000000000e+02,7.015734102715124436e+02
3.520000000000000000e+02,7.736156991685212461e+02
3.790000000000000000e+02,8.499324973196401061e+02
4.070000000000000000e+02,9.306053137608876114e+02
4.360000000000000000e+02,1.015714157625067287e+03
4.660000000000000000e+02,1.105337618105888851e+03
