4.999788663381868226e+00,9.999577326763736096e+01,9.997581014028152140e+02
9.992967980431927799e+00,9.986358634100118081e+01,9.997323413944045569e+02
1.499223055104885027e+01,9.998525141233844238e+01,9.996032647429591407e+02
1.999619603448030603e+01,1.000793096686290653e+02,9.994658534224137156e+02
2.500689681892380634e+01,1.002140156888700204e+02,9.995331884261444202e+02
3.001701878514688104e+01,1.002024393244614657e+02,9.995986880652659465e+02
3.502058910580736750e+01,1.000714064132097150e+02,9.996300093594355758e+02
4.002714452588520544e+01,1.001311084015567587e+02,9.997741533755925047e+02
4.502349300707034274e+01,9.992696962370273184e+01,9.997959193927305250e+02
5.001937142758645649e+01,9.991756841032226077e+01,9.997085612275268431e+02
5.501797208177213605e+01,9.997201308371353434e+01,9.995903881218565630e+02
6.001778066918505061e+01,9.999617174825830546e+01,9.996240797727506333e+02
6.501891429362980546e+01,1.000226724888949974e+02,9.995209188085085543e+02
7.002083954809350530e+01,1.000385050892738832e+02,9.993856842267007323e+02
7.501455940293566016e+01,9.987439709684315403e+01,9.994685116500980939e+02
8.000409099746509867e+01,9.979063189058877015e+01,9.995104681137077023e+02
8.499575357111453400e+01,9.983325147298857871e+01,9.995602361893608077e+02
8.998842335536839698e+01,9.985339568507737340e+01,9.997404275011332402e+02
9.498724482168353234e+01,9.997642932630257917e+01,9.999649086180993436e+02
9.999441060175587381e+01,1.001433156014467301e+02,9.997515985931231626e+02
1.049950737543745305e+02,1.000132630523730057e+02,9.997626641099358267e+02
1.100003519758055432e+02,1.001055644286203545e+02,9.996649110945218126e+02
1.150134602104632791e+02,1.002621646931546024e+02,9.997121870961556169e+02
1.200271915253173063e+02,1.002746262970804594e+02,9.997230999927058974e+02
1.250411987330902690e+02,1.002801441554591975e+02,9.996341448709863471e+02
1.300555024037452654e+02,1.002860734130996434e+02,9.996805108910365334e+02
1.350689260357938224e+02,1.002684726409712823e+02,9.994623633743176470e+02
1.400780461634208223e+02,1.001824025525402106e+02,9.995550261330566855e+02
1.450880690850916324e+02,1.002004584334164150e+02,9.996111750338221782e+02
1.500900196106892395e+02,1.000390105119522417e+02,9.996355555939878741e+02
